Connector Code,Connector: Record ID,Connector: Source,Connector: Connector Activity,Connector: Connector Sub Category,Connector: Connector Category,Connector: Connector Type,Connector: App Registered,Oct-16,May-17,Oct-17,Dec-17,Jan-18,Feb-18,Mar-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
HFFC-033629,aAZ5i000000LXFn,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8
HFFC-027708,aAZ5i000000L5AT,Connector App,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,3
HFFC-020555,aAZ2j0000000Azx,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Builder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,
HFFC-000893,aAZ90000000016R,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-027315,aAZ5i000000L1ow,Beat Mapping,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,2
HFFC-032376,aAZ5i000000LVIb,Beat Mapping,Lead Stage,One man show,Construction Community,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-021314,aAZ2j0000000BzZ,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,2,,,1,1,1,9
HFFC-004166,aAZ0o000000PGYr,Other,Lead Stage,,Financial Connectors,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-001140,aAZ9000000001QM,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-011428,aAZ0o000000PN8q,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,5,,,2,4,5,1,9,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
HFFC-003076,aAZ0o000000btRY,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,,,1,,,,1,,,1,,,,2,,,2,,,1,3,2,,,2,,1,,1,,,2,1,,1,1,7
HFFC-016651,aAZ2j00000005zd,Connector Referral,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,1,,,,,,,,,,,,,,,,,,,,,
HFFC-021485,aAZ2j0000000CDR,Business Development,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Sole Seller,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,2
HFFC-019131,aAZ2j00000009AP,Beat Mapping,Active,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,2,,1,2,1,3,4,4,14,9,22,9,4,82
HFFC-009620,aAZ0o000000GqFR,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017137,aAZ2j00000006bD,Connector App,Active,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,2,2,2,3,4,,1,2,1,5,4,,,1,2,1,2,20
HFFC-019901,aAZ2j0000000AA1,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,1,,,,,5
HFFC-031415,aAZ5i000000LTiW,Other,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2
HFFC-000620,aAZ9000000000kG,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-014021,aAZ2j00000002bd,Business Development,Dormant Connector,Multi brand Affordable HL,Micro Connector,Document Writer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,4,5,,1,5,3,6,6,4,9,4,,2,,,,,,,,,,,,,
HFFC-023337,aAZ2j000000KziE,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
HFFC-033576,aAZ5i000000LXBW,Beat Mapping,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2
HFFC-010499,aAZ0o000000PLvv,Business Development,Dormant Connector,,Micro Connector,Retail Shop,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-002095,aAZ90000000PEZg,Other,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-023097,aAZ2j000000KzNa,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-030229,aAZ5i000000LMMD,InternPro,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-025593,aAZ2j000000L3Mg,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
HFFC-029689,aAZ5i000000LIfv,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-011019,aAZ0o000000PMbr,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017708,aAZ2j00000007Kw,Business Development,Dormant Connector,,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000137,aAZ9000000000CQ,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,2,,,3,3,1,,3,,4,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-033453,aAZ5i000000LX1R,Business Development,Lead Stage,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4
HFFC-023970,aAZ2j000000L0pk,Other,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,
HFFC-006854,aAZ0o000000CqFl,Construction Community Partners,Dormant Connector,Multi brand Prime HL,Construction Community,Civil Engineer,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-016804,aAZ2j00000006Bt,Digital,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-006766,aAZ0o000000Cq8f,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-027777,aAZ5i000000L6Bq,Business Development,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Builder,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,3
HFFC-004158,aAZ0o000000PGYD,BIZ,Dormant Connector,Multi brand Affordable HL,Financial Connectors,CA,0,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-031852,aAZ5i000000LUTx,Connector App,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,3
HFFC-029281,aAZ5i000000LFso,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,4,5,1,19
HFFC-024249,aAZ2j000000L1M0,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,3
HFFC-034298,aAZ5i000000LYEr,Beat Mapping,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HFFC-002020,aAZ90000000PETd,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,2,,,,,,,,,,,2,,2,,,,2,,,,1,,,,,,,,,,,,2,,,4,3,6,2,2,,,3,4,1,6,2,,4,24
HFFC-020292,aAZ2j0000000Af4,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,4,1,2,1,1,,,,3,,,,,,,4
HFFC-026355,aAZ2j000000L4Z2,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,,1,1,6
HFFC-030748,aAZ5i000000LQJP,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
HFFC-018780,aAZ2j00000008iV,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-022656,aAZ2j000000Kym5,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,4,3,,1,,2,1,3,25
HFFC-023331,aAZ2j000000Kzhk,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-026501,aAZ2j000000L4mf,Business Development,Active,Multi brand Affordable HL,Micro Connector,Document Writer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,2,6,3,4,5,26
HFFC-024784,aAZ2j000000L2A0,,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,3
HFFC-025914,aAZ2j000000L3uY,Connector App,Active,Multi brand Affordable HL,Builder Ecosystem,Real Estate Agent/Broker,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,2
HFFC-017764,aAZ2j00000007PN,Marketing,Never Active,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-012651,aAZ2j00000000rt,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-000074,aAZ90000000008F,Other,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,3,4,6,2,3,7,4,3,,,1,3,4,6,4,,2,1,,2,1,5,,,,,4,2,,3,2,5,4,1,,3,2,2,3,,2,5,4,8,6,2,2,1,2,5,1,4,2,4,40
HFFC-027532,aAZ5i000000L3k2,Beat Mapping,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
HFFC-020721,aAZ2j0000000BDL,Branch Walk-In,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-027617,aAZ5i000000L4Jn,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-023120,aAZ2j000000KzQU,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,2,2,1,9
HFFC-011038,aAZ0o000000PMdO,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,2,,,,1,,,,,,,,,,,,,,,,,
HFFC-000057,aAZ900000000062,Builder,Dormant Connector,,Builder Ecosystem,Real Estate Agent/Broker,0,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-026034,aAZ2j000000L452,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,4,3,3,2,,,,2,18
HFFC-018170,aAZ2j00000007vn,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,3,,,4,2,1,2,2,1,3,1,,,1,,,,,,,,2
HFFC-000852,aAZ900000000138,Builder,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Builder,0,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
HFFC-028545,aAZ5i000000LBrQ,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,LIC Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,3
HFFC-028375,aAZ5i000000LB8K,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-006662,aAZ0o000000Cq0H,Other,Dormant Connector,Multi brand Prime HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,1,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,1,,,,1
HFFC-008852,aAZ0o000000GpFa,Outdoor Ad,Never Active,Multi brand Affordable HL,Financial Connectors,LIC Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-002555,aAZ90000000PFAm,Branch Walk-In,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
