Connector Code,Connector: Record ID,Connector: Source,Connector: Connector Activity,Connector: Connector Sub Category,Connector: Connector Category,Connector: Connector Type,Connector: App Registered,Oct-16,May-17,Oct-17,Dec-17,Jan-18,Feb-18,Mar-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
HFFC-012025,aAZ2j000000003U,Customer Referral,Dormant Connector,One man show,Construction Community,Civil Engineer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,1,4,,4,,,1,,,,,,,,1,,,,,,1,,,,,2
HFFC-019213,aAZ2j00000009Gw,Branch Phone,Never Active,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,3,,,,,3
HFFC-023736,aAZ2j000000L0Sg,Connector App,Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,1,,,2
HFFC-031769,aAZ5i000000LUHH,Marketing,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,5
HFFC-026144,aAZ2j000000L4Ei,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
HFFC-007928,aAZ0o000000Go3O,Business Development,Never Active,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-012239,aAZ2j00000000Kf,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-023770,aAZ2j000000L0WO,Connector App,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2,1,,,,,,,,,3
HFFC-011855,aAZ0o000000PNhH,Business Development,Dormant Connector,Multi brand Prime HL,Builder Ecosystem,Builder Employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-032723,aAZ5i000000LVpR,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,8
HFFC-023915,aAZ2j000000L0jI,Business Development,Dormant Connector,One man show,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,2,,1,1,,,,,1,11
HFFC-031759,aAZ5i000000LUGT,Connector App,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,9
HFFC-004506,aAZ0o000000Cmvt,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,5,,,,2,3,2,,1,1,5,,,,2,4,5,1,,,,1,,2,5,6,6,1,2,,,,,,,,,,,,,,,,
HFFC-030882,aAZ5i000000LR6B,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
HFFC-024426,aAZ2j000000L1bP,Connector App,Never Active,One man show,Micro Connector,Retail Shop,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
HFFC-013229,aAZ2j00000001cQ,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-025516,aAZ2j000000L3Em,InternPro,Never Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
HFFC-001552,aAZ90000000PDrt,Other,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,5,1,2,4,4,,,1,1,,,1,,,,,,,1,,,,,,1
HFFC-011798,aAZ0o000000PNcg,Business Development,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Builder Employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-029009,aAZ5i000000LEGQ,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
HFFC-004294,aAZ0o000000PGrR,Employee Referral,Dormant Connector,Multi brand Prime HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,1,,4
HFFC-017636,aAZ2j00000007FD,Beat Mapping,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,4,2,,,,,1,,,,,,1,,1,3,,,,1,,3,13
HFFC-019904,aAZ2j0000000AAG,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
HFFC-001985,aAZ90000000PEQo,Other,Dormant Connector,Multi brand Affordable HL,Builder Ecosystem,Real Estate Agent/Broker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-007646,aAZ0o000000Gnge,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,
HFFC-017129,aAZ2j00000006aZ,Beat Mapping,Lead Stage,,Financial Connectors,CA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-004280,aAZ0o000000PGqJ,Business Development,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-004236,aAZ0o000000PGml,Paper Inserts,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-026334,aAZ2j000000L4XL,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,,3,1,6,22
HFFC-002570,aAZ90000000PFBz,BIZ,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-023413,aAZ2j000000Kzv3,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-002577,aAZ90000000PFCY,Other,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,3,1,2,1,1,1,,2,9,3,1,3,3,4,2,2,4,1,2,3,6,,1,2,2,,,3,5,25
HFFC-019519,aAZ2j00000009fS,Branch Phone,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,1,1,,,2,,1,,,,,,,3
HFFC-011374,aAZ0o000000PN4U,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,1
HFFC-023456,aAZ2j000000L02x,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,4,,2,3,3,,,,,2,,,,10
HFFC-025344,aAZ2j000000L2xW,Connector App,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,4,4,,,,,,,15
HFFC-017368,aAZ2j00000006tg,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,
HFFC-000217,aAZ9000000000EB,Other,Dormant Connector,Multi brand Affordable HL,Construction Community,Contractor,1,,,,,,,,,,,,,,,,,,,,,,,,4,1,,1,,2,,,,1,,2,,,,,,,1,1,,1,,2,1,2,1,1,,,,,,,,,,,,2
HFFC-011792,aAZ0o000000PNcC,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,3,7,1,3,2,9,2,,1,1,1,5,2,2,2,1,1,,,2,,1,,1,,,,5
HFFC-028262,aAZ5i000000L9ys,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7
HFFC-025816,aAZ2j000000L3kd,Connector App,Active,PL-BL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,3
HFFC-026427,aAZ2j000000L4fj,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1
HFFC-030802,aAZ5i000000LQeH,Marketing,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,2
HFFC-023818,aAZ2j000000L0au,Branch Walk-In,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,,1,1,,,,,,,,,2
HFFC-012614,aAZ2j00000000ou,Business Development,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-027353,aAZ5i000000L28q,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-030266,aAZ5i000000LMTK,Connector App,Active,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,6
HFFC-032730,aAZ5i000000LVq0,Beat Mapping,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7
HFFC-030016,aAZ5i000000LKuf,Beat Mapping,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-024182,aAZ2j000000L1Cj,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,2
HFFC-028779,aAZ5i000000LDIU,InternPro,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1
HFFC-009592,aAZ0o000000GqDB,Branch Walk-In,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,4,3,,,4,6,3,6,,,9,1,6,8,4,5,10,14,12,8,9,6,9,4,11,10,9,3,9,6,6,6,5,6,2,7,12,11,3,9,83
HFFC-012468,aAZ2j00000000d8,Business Development,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2
HFFC-009553,aAZ0o000000GqA2,Branch Walk-In,Dormant Connector,PL-BL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-020101,aAZ2j0000000APz,Business Development,Lead Stage,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,
HFFC-032268,aAZ5i000000LV9F,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1
HFFC-010216,aAZ0o00000008w8,,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-020489,aAZ2j0000000Aui,Business Development,Dormant Connector,,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,
HFFC-009298,aAZ0o000000GppT,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017996,aAZ2j00000007hv,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-026429,aAZ2j000000L4ft,Connector App,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,1,,,4
HFFC-006808,aAZ0o000000CqC3,Other,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,2,3,2,,,2,3,6,4,1,7,,,2,2,1,6,12,6,5,2,6,6,9,1,2,5,1,3,1,,5,1,2,,3,1,2,1,,7,3,1,23
HFFC-000728,aAZ9000000000t8,Website,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,1,5,6,1,1,,1,,,,,,,1,,,,,,,,,,,1,5,,,,,,1,,,,1,,,,,1,2,,,,,,,,,,,2
HFFC-030897,aAZ5i000000LRah,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,2
HFFC-028062,aAZ5i000000L8ZG,Connector App,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,4
HFFC-005034,aAZ0o000000CncT,Newspaper Ad,Never Active,Multi brand Affordable HL,Builder Ecosystem,Builder,0,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-024450,aAZ2j000000L1dV,Business Development,Dormant Connector,One man show,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,1,,1,,,6
HFFC-030741,aAZ5i000000LQIq,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,1,9
HFFC-003969,aAZ0o000000PGEv,BIZ,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-000629,aAZ9000000000kz,Employee Referral,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,2,1,,,,,2,3,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-009422,aAZ0o000000GpzT,Beat Mapping,Active,Multi brand Affordable HL,Construction Community,Civil Engineer,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,,,1,1,,2,2,2,2,,1,1,4,,1,16
HFFC-030644,aAZ5i000000LP6O,InternPro,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2
HFFC-026851,aAZ2j000000PBKv,Other,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2
HFFC-023961,aAZ2j000000L0p1,Beat Mapping,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-033471,aAZ5i000000LX2t,InternPro,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7
HFFC-010605,aAZ0o000000PM4T,Business Development,Lead Stage,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
HFFC-010672,aAZ0o000000PM9s,Beat Mapping,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1
HFFC-017254,aAZ2j00000006kZ,Business Development,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-012664,aAZ2j00000000sw,Connector App,Lead Stage,,Financial Connectors,Other HFC/Bank employee,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-033700,aAZ5i000000LXMK,Connector App,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-015515,aAZ2j00000004WQ,Outdoor Ad,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,2
HFFC-002637,aAZ90000000PFHO,Branch Walk-In,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-014183,aAZ2j00000002o8,Business Development,Dormant Connector,Multi brand Affordable HL,Construction Community,Contractor,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,2,,,3,2,2,,,,,,,,,,,,2,,,,,,,,,2
HFFC-022277,aAZ2j0000000DFE,Connector App,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,4,2,2,3,2,2,6,1,5,3,1,1,1,1,,25
HFFC-001817,aAZ90000000PEDG,Builder,Dormant Connector,,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-007598,aAZ0o000000Gncm,Business Development,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-027097,aAZ2j000000PBg8,Business Development,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,10,8,6,9,8,6,72
HFFC-027802,aAZ5i000000L6Hz,Beat Mapping,Dormant Connector,Multi brand Affordable HL,Financial Connectors,LIC Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,4
HFFC-023106,aAZ2j000000KzOJ,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-008104,aAZ0o000000GoHV,Other,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-030866,aAZ5i000000LR4t,Connector App,Never Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,5
HFFC-018241,aAZ2j000000081R,Beat Mapping,Never Active,,Construction Community,Civil Engineer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-016702,aAZ2j000000063k,Existing Customer,Dormant Connector,One man show,Construction Community,Construction Community Partner-For Tracking Only,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1
HFFC-001067,aAZ9000000001KT,,Dormant Connector,,Micro Connector,Other,0,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-011502,aAZ0o000000PNEo,Connector App,Active,One man show,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,2,2,2,3,1,,1,1,,,,2,,,,,,1,,2,1,,,1,1,1,1,,9
HFFC-019077,aAZ2j000000096D,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,1,5,2,,1,2,,,,,,,,,,,,,,
HFFC-000586,aAZ9000000000hW,Customer Referral,Active,Multi brand Affordable HL,Financial Connectors,Other HFC/Bank employee,1,,,,,,,,,,,,,,,,,,,,,,,4,10,6,,7,,5,5,,1,2,2,1,,,1,3,,3,2,3,2,3,3,4,5,2,,2,,2,1,,,,,,1,3,5,14
HFFC-024193,aAZ2j000000L1H0,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,1,,2,,1,,,,11
HFFC-019692,aAZ2j00000009tP,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,1,,,,,,,,,,,,,,,,,,,
HFFC-031956,aAZ5i000000LUd9,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1
HFFC-027252,aAZ5i000000L0yk,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,,,5
HFFC-025868,aAZ2j000000L3qq,Beat Mapping,Active,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,,,2,3,,10
HFFC-019278,aAZ2j00000009MB,Connector App,Lead Stage,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-029895,aAZ5i000000LJXh,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1
HFFC-013572,aAZ2j000000023q,Connector App,Never Active,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-015778,aAZ2j00000004rY,Customer Referral,Dormant Connector,Multi brand Affordable HL,Construction Community,Civil Engineer,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
HFFC-025606,aAZ2j000000L3Nj,Connector App,Lead Stage,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1
HFFC-021643,aAZ2j0000000CQB,Connector App,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-021814,aAZ2j0000000Cdy,Business Development,Dormant Connector,Multi brand Affordable HL,Financial Connectors,Home Loan Agent,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,1,1
