Connector Code,Connector Id(15),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-017697,aAZ2j00000007K3,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017702,aAZ2j00000007KS,3,6,1,4,4,,6,11,4,8,6,,1,6,2,2,2,,1,1,2,15,3,
HFFC-017705,aAZ2j00000007Kh,,,,1,1,1,,,1,2,,,,,,,,,,,,,,
HFFC-017706,aAZ2j00000007Km,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017707,aAZ2j00000007Kr,1,1,1,,1,,4,5,,1,,,,,,,,,,,,,,
HFFC-017708,aAZ2j00000007Kw,3,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017713,aAZ2j00000007LL,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017722,aAZ2j00000007M4,2,2,,1,,,,,,,,,,,,,,,,,,,,
HFFC-017724,aAZ2j00000007ME,,,,,2,,1,,,,,,,,,,,,,,,,,
HFFC-017727,aAZ2j00000007MT,,,,1,1,,1,,,,,,,,,,,,,,,,,
HFFC-017731,aAZ2j00000007Mn,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017734,aAZ2j00000007Mx,2,,1,,,3,1,,,,,,,,,,,,,,,,,
HFFC-017739,aAZ2j00000007NM,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017745,aAZ2j00000007Nq,1,1,,1,1,,,,,,,,,,,,,,,,,,,
HFFC-017747,aAZ2j00000007O0,,,,,,,3,2,,,,,,,,,,,,,,,,
HFFC-017748,aAZ2j00000007O5,,,,,,,,,,,,,,,,,,,,,,,1,
HFFC-017755,aAZ2j00000007Oe,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-017759,aAZ2j00000007Oy,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-017760,aAZ2j00000007P3,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017761,aAZ2j00000007P8,2,,,,,,,,1,,,,,,2,,,,,,,,,
HFFC-017762,aAZ2j00000007PD,3,1,4,3,1,,,2,1,,,,,,,,,,,,,,,
HFFC-017769,aAZ2j00000007Pm,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017772,aAZ2j00000007Q1,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017775,aAZ2j00000007QG,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017779,aAZ2j00000007Qa,2,,,3,,,,,,,,,,,,,,,,,,,,
HFFC-017784,aAZ2j00000007Qz,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-017785,aAZ2j00000007R4,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-017787,aAZ2j00000007RE,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017809,aAZ2j00000007T0,6,,,,5,4,,1,,,,,,,,,,,,,,,,
HFFC-017810,aAZ2j00000007T5,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017812,aAZ2j00000007TF,,3,1,,1,,,,,,,,,,,,,,,,,,,
HFFC-017815,aAZ2j00000007TU,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017818,aAZ2j00000007Tj,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-017823,aAZ2j00000007U8,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017824,aAZ2j00000007UD,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017825,aAZ2j00000007UI,,,,,,,,1,,,,,,,,,1,,,,,,,
HFFC-017829,aAZ2j00000007Uc,1,1,,,,,,2,1,,,,4,,,1,,,4,5,2,,,
HFFC-017834,aAZ2j00000007V1,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-017841,aAZ2j00000007Va,,,2,1,3,4,2,2,4,1,2,,1,1,1,,1,,4,,,,2,2
HFFC-017846,aAZ2j00000007Vz,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017847,aAZ2j00000007W4,1,,2,1,1,,1,,,,,1,,,,3,,,1,,1,1,,
HFFC-017848,aAZ2j00000007W9,,,,,1,,,1,,,,,,,3,,,,,,,,,
HFFC-017850,aAZ2j00000007WJ,,,,,1,1,3,4,4,,10,4,4,,,,,,,,,,,
HFFC-017857,aAZ2j00000007Ws,11,6,,7,8,4,13,5,3,2,,6,10,5,2,6,6,5,1,6,2,5,9,3
HFFC-017859,aAZ2j00000007X2,,,,,,,,,,,,,,,,,,,,,,3,,1
HFFC-017861,aAZ2j00000007XC,,,,,,,,,,,,,1,,,,,,,,,,,
HFFC-017866,aAZ2j00000007Xb,,4,1,2,2,1,1,2,9,3,,2,1,1,,3,1,,,4,,1,,
HFFC-017867,aAZ2j00000007Xg,2,,3,4,,,,,,,,,,,,,,,,,,,,
HFFC-017883,aAZ2j00000007Yy,,,,,,,,,,,,,5,,,,,,,,,,11,7
HFFC-017886,aAZ2j00000007ZD,,,,,8,3,14,21,22,21,18,15,19,11,19,23,11,13,16,40,25,24,14,14
HFFC-017889,aAZ2j00000007ZS,2,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-017890,aAZ2j00000007ZX,,,,,,,,,,,8,3,1,3,1,4,1,5,2,4,4,,,5
HFFC-017893,aAZ2j00000007Zm,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017895,aAZ2j00000007Zw,1,1,,,,,1,,,,,,,,,,,,,,,,,
HFFC-017899,aAZ2j00000007aG,1,1,,,,7,5,4,,,,,,,,,,,,,,,,
HFFC-017900,aAZ2j00000007aL,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-017901,aAZ2j00000007aQ,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017918,aAZ2j00000007bi,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017921,aAZ2j00000007bx,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-017930,aAZ2j00000007cg,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017933,aAZ2j00000007cv,,,,,,,,,,,,1,2,,,,,,,,,,,
HFFC-017936,aAZ2j00000007dA,1,2,1,,2,1,3,4,,6,8,14,8,12,4,3,1,,1,1,4,3,,2
HFFC-017943,aAZ2j00000007dj,,3,,,5,1,2,1,,,,,,,,,,,,,,,,
HFFC-017968,aAZ2j00000007fk,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017970,aAZ2j00000007fu,3,1,1,,1,,,,,1,,,,,,,,,,,1,,,
HFFC-017975,aAZ2j00000007gJ,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-017977,aAZ2j00000007gT,2,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-017978,aAZ2j00000007gY,3,2,,2,,,2,2,4,1,1,1,,,,,,,,,,,1,2
HFFC-017980,aAZ2j00000007gi,4,1,4,2,3,,,4,1,1,,2,6,,4,3,,,2,1,2,,1,1
HFFC-017982,aAZ2j00000007gs,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-017988,aAZ2j00000007hH,,,,,,,3,,,,,,,,,,,,,,,,,
HFFC-017990,aAZ2j00000007hR,1,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-017992,aAZ2j00000007hb,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018008,aAZ2j00000007io,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018010,aAZ2j00000007iy,1,,,3,1,,,,2,1,1,3,1,7,1,3,,3,4,,3,2,4,2
HFFC-018014,aAZ2j00000007jI,,2,,,,,,,,,1,,,1,,,,,,,,,,
HFFC-018019,aAZ2j00000007jh,,,,1,4,3,2,4,1,,,,,,,,,,,,,,,
HFFC-018028,aAZ2j00000007kQ,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018047,aAZ2j00000007lx,12,7,9,11,10,,5,23,13,6,,,,,,,,,,,,,,3
HFFC-018050,aAZ2j00000007mC,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018059,aAZ2j00000007mv,2,1,,,,,1,,,,,,,,,,,,,,,,,
HFFC-018063,aAZ2j00000007nF,,,,,,,,,,,,,1,,,,,1,,,,,,
HFFC-018069,aAZ2j00000007nj,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-018075,aAZ2j00000007oD,,,,,,,,,1,,,,1,1,,1,,,,1,,,1,
HFFC-018078,aAZ2j00000007oS,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018083,aAZ2j00000007or,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018090,aAZ2j00000007pQ,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018093,aAZ2j00000007pf,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018098,aAZ2j00000007q4,,1,,,,1,,1,,,,,,,1,,2,,1,,,,,1
HFFC-018099,aAZ2j00000007q9,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-018100,aAZ2j00000007qE,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018110,aAZ2j00000007r2,,,,,,,2,3,,,,,,,,,,,,,,2,,
HFFC-018121,aAZ2j00000007rv,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018125,aAZ2j00000007sF,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018130,aAZ2j00000007se,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018136,aAZ2j00000007t8,4,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-018160,aAZ2j00000007uz,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018161,aAZ2j00000007v4,2,2,3,5,2,,1,3,2,,,,,,,,,,,,,,,
HFFC-018164,aAZ2j00000007vJ,,,,,,,,,,,1,,,,,2,,1,,,,,,
HFFC-018168,aAZ2j00000007vd,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-018169,aAZ2j00000007vi,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018170,aAZ2j00000007vn,1,2,2,3,,,4,2,1,2,2,1,3,1,,,1,,,,,,,
HFFC-018171,aAZ2j00000007vs,,2,,1,1,,2,,,1,,,,,,,,,,,,,,
HFFC-018173,aAZ2j00000007w2,,1,2,,,,,,,,,,1,,,,,,,,,,,
HFFC-018176,aAZ2j00000007wH,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-018178,aAZ2j00000007wR,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018180,aAZ2j00000007wb,3,2,2,2,1,,2,2,5,1,,,2,,,,2,1,1,2,2,3,2,2
HFFC-018185,aAZ2j00000007x0,2,2,,2,,2,2,,1,,,1,,,,1,,,,,,,,
HFFC-018189,aAZ2j00000007xK,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-018198,aAZ2j00000007y3,,3,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018199,aAZ2j00000007y8,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018217,aAZ2j00000007zV,,,,3,,,,,,,,,,,,,,,,,,,,
HFFC-018226,aAZ2j000000080E,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018232,aAZ2j000000080i,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-018242,aAZ2j000000081W,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018247,aAZ2j000000081v,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018248,aAZ2j0000000820,1,3,,,,,,,1,,,,,,,,,,,,,,,
HFFC-018250,aAZ2j000000082A,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018251,aAZ2j000000082F,,,,,,,4,2,1,1,,,,,,,,,,,,,,
HFFC-018258,aAZ2j000000082o,6,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018259,aAZ2j000000082t,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018261,aAZ2j0000000833,1,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018266,aAZ2j000000083S,,,,,,,,,,,,,,,,,,,,,,,2,2
HFFC-018271,aAZ2j000000083r,,3,1,1,4,2,2,1,,,6,,2,2,1,,,1,,,,,,
HFFC-018291,aAZ2j000000085T,1,2,3,2,2,7,5,2,,1,,,,,,,,,,,,,,
HFFC-018292,aAZ2j000000085Y,,,,,1,2,2,3,,,,2,3,,,,,1,,,,,,
HFFC-018308,aAZ2j000000086q,,,1,,1,,,,,,,,,,,,,,,,,,,
HFFC-018330,aAZ2j000000088X,,2,3,1,,,2,1,2,,,,,1,,2,1,2,6,1,1,1,2,
HFFC-018331,aAZ2j000000088c,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018340,aAZ2j000000089L,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018345,aAZ2j000000089k,,2,4,1,1,,,,1,,,,,,,,,,1,,,,,
HFFC-018348,aAZ2j000000089z,,,,2,,,,,,2,,,,,,,,,,,,,,
HFFC-018360,aAZ2j00000008Ax,,2,1,1,,,,,1,,,,1,,,,,,,,,,,
HFFC-018362,aAZ2j00000008B7,,4,,1,,1,,4,3,2,1,1,3,1,4,3,,,1,,,1,1,1
HFFC-018364,aAZ2j00000008BH,,,,,,1,2,,,,,,,,,,,,,,2,,,
HFFC-018368,aAZ2j00000008Bb,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018372,aAZ2j00000008Bv,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018373,aAZ2j00000008C0,,2,1,1,,2,2,,2,1,2,,,,,,,,,,,,,
HFFC-018375,aAZ2j00000008CA,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-018377,aAZ2j00000008CK,,5,,,,,,,,,,,,,,,,,,,,,,
HFFC-018379,aAZ2j00000008CU,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018380,aAZ2j00000008CZ,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018381,aAZ2j00000008Ce,,3,,1,,2,1,2,,,,1,4,4,,,,,,,,,,
HFFC-018383,aAZ2j00000008Co,,1,1,2,1,,2,,,2,,1,2,1,2,,,,,,,,,
HFFC-018384,aAZ2j00000008Ct,,1,,,,,,,,,,1,,,,,,,,,,,,
HFFC-018388,aAZ2j00000008DD,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018389,aAZ2j00000008DI,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018393,aAZ2j00000008Dc,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-018406,aAZ2j00000008Ef,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018408,aAZ2j00000008Ep,,3,,,,,,,,,,,,,,,,,,,,,,
HFFC-018412,aAZ2j00000008F9,,3,,,,,,,,,,,,,,,,,,,,,,
HFFC-018414,aAZ2j00000008FJ,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018415,aAZ2j00000008FO,,9,7,,,2,8,5,,3,2,,,,,,,,,,,,,
HFFC-018420,aAZ2j00000008Fn,,5,2,,,,,1,,1,2,,,2,2,,2,,,1,,,,
HFFC-018423,aAZ2j00000008G2,,,,2,1,,,,,,,,2,,,,,,,,,,,
HFFC-018427,aAZ2j00000008GM,,,4,4,3,,,1,1,1,,,,,1,1,,1,1,,1,,,
HFFC-018428,aAZ2j00000008GR,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018429,aAZ2j00000008GW,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018430,aAZ2j00000008Gb,,1,,1,,,,,,1,,,,,,,,,,,,,,
HFFC-018433,aAZ2j00000008Gq,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018436,aAZ2j00000008H5,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018438,aAZ2j00000008HF,,4,2,1,,,,,,,,,,,,,,,,,,,,
HFFC-018439,aAZ2j00000008HK,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-018440,aAZ2j00000008HP,,6,,,,,,,,,,,,,,,,,,,,,,
HFFC-018445,aAZ2j00000008Ho,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-018449,aAZ2j00000008I8,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-018450,aAZ2j00000008ID,,4,,,,,,,,,,,,,,,,,,,,,,
HFFC-018457,aAZ2j00000008Im,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018458,aAZ2j00000008Ir,,1,,,,,,6,6,9,1,2,1,,1,1,1,,,1,,,,
HFFC-018459,aAZ2j00000008Iw,,3,3,,3,1,4,9,,5,5,,1,,,1,,1,,1,,1,,1
HFFC-018463,aAZ2j00000008JG,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018465,aAZ2j00000008JQ,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018481,aAZ2j00000008Ki,,,,,,,,,,,,1,,2,,,,,,,,,,
HFFC-018486,aAZ2j00000008L7,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018490,aAZ2j00000008LR,,,1,,,,,4,7,7,6,7,13,2,,,1,,,,,,,
HFFC-018494,aAZ2j00000008Ll,,,,1,,,,,,,,,,,,,,,1,,,2,1,
HFFC-018496,aAZ2j00000008Lv,,,,5,,,2,2,,,1,1,1,2,1,,,1,1,,,,,
HFFC-018498,aAZ2j00000008M5,,3,,,,,,,,,,,,,,,,,,,,,,
HFFC-018499,aAZ2j00000008MA,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018502,aAZ2j00000008MP,,1,,,,,,,,,,,,,,,,,,,,,,1
HFFC-018504,aAZ2j00000008MZ,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018505,aAZ2j00000008Me,,1,,2,,,,,,,,,,,,,,,,,,,,
HFFC-018507,aAZ2j00000008Mo,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-018514,aAZ2j00000008NN,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018524,aAZ2j00000008OB,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018529,aAZ2j00000008Oa,,,,,,,,,,,,,1,1,1,,,,,,,,,
HFFC-018541,aAZ2j00000008PY,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-018550,aAZ2j00000008QH,,3,,2,,1,,4,,1,1,1,1,1,1,,,1,,,,1,,
HFFC-018554,aAZ2j00000008Qb,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018556,aAZ2j00000008Ql,,,,,,,,,,,,,,,,,,,,,,1,,
HFFC-018559,aAZ2j00000008R0,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018563,aAZ2j00000008RK,,1,1,,,,,1,4,1,1,2,1,3,5,2,1,1,3,,2,3,5,3
HFFC-018567,aAZ2j00000008Re,,,,1,5,,1,3,,3,1,3,4,3,4,7,,,,,,,,
HFFC-018569,aAZ2j00000008Ro,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018571,aAZ2j00000008Ry,,,,,,,,,,,,,,,,,,,,1,2,5,1,
HFFC-018578,aAZ2j00000008SX,,,,,5,,2,1,3,,,1,,,,,,,,,,,,
HFFC-018581,aAZ2j00000008Sm,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018582,aAZ2j00000008Sr,,1,,,,,1,,,,,,,1,,,,,,,,,,
HFFC-018584,aAZ2j00000008T1,,1,,,,,,,,,,,1,3,2,,3,1,,1,,,,
HFFC-018587,aAZ2j00000008TG,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018589,aAZ2j00000008TQ,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-018602,aAZ2j00000008UT,,3,3,4,1,,3,2,2,,,,5,2,1,,,,,,,,,
HFFC-018619,aAZ2j00000008Vl,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-018623,aAZ2j00000008W5,,,2,,4,2,,2,,,,,,,1,1,,,,,,,,
HFFC-018626,aAZ2j00000008WK,,,,,,1,,,,1,,2,6,4,1,5,2,6,4,6,4,1,3,1
HFFC-018627,aAZ2j00000008WP,,2,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018633,aAZ2j00000008WK,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018638,aAZ2j00000008XD,,1,,,,2,4,,,,,,1,,,,,,,,,,,
HFFC-018640,aAZ2j00000008XN,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018644,aAZ2j00000008Xh,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-018647,aAZ2j00000008Xw,,,,9,9,2,1,2,7,5,1,2,,5,5,1,,,,,,,,
HFFC-018658,aAZ2j00000008Yp,,,,,,,,,,,,,,,,,,,1,,,,,
HFFC-018667,aAZ2j00000008ZY,,,,,,,1,,2,,,,,,,,,1,,,2,,1,
HFFC-018683,aAZ2j00000008al,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018684,aAZ2j00000008aq,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018685,aAZ2j00000008av,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018687,aAZ2j00000008b5,,3,,,,,,,,,,,,,,,,,,,,,,
HFFC-018696,aAZ2j00000008bo,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-018698,aAZ2j00000008by,,,,,,,1,,,,,,,,,,,,,,,,,
HFFC-018712,aAZ2j00000008d6,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-018714,aAZ2j00000008dG,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018715,aAZ2j00000008dL,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018716,aAZ2j00000008dQ,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018729,aAZ2j00000008eT,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018730,aAZ2j00000008eY,,,,,,,1,2,2,,,,,,,,,,,,,,,
HFFC-018731,aAZ2j00000008ed,,,2,,2,3,1,1,1,1,2,,,3,,,,1,,,,,,
HFFC-018732,aAZ2j00000008ei,,,1,1,3,1,,,1,2,2,1,,6,1,1,2,4,6,6,1,8,2,11
HFFC-018736,aAZ2j00000008f2,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018737,aAZ2j00000008f7,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018738,aAZ2j00000008fC,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018749,aAZ2j00000008g5,,,,1,1,,,1,1,,,,,,,1,,,,,,,,
HFFC-018753,aAZ2j00000008gP,,,,,,,1,,2,,,1,1,,,,,,,,,,,
HFFC-018754,aAZ2j00000008gU,,,2,4,1,,,4,,2,,,3,18,,,,,3,1,,,,
HFFC-018757,aAZ2j00000008gj,,,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-018770,aAZ2j00000008hh,,3,2,1,,3,,,,,,,,,,,,,,,,,,
HFFC-018777,aAZ2j00000008iG,,,4,6,6,1,1,4,3,4,,4,3,3,4,3,,,1,1,,1,1,1
HFFC-018780,aAZ2j00000008iV,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018792,aAZ2j00000008jO,,1,1,1,1,,1,2,3,2,1,,,1,6,1,,4,2,,2,1,1,
HFFC-018794,aAZ2j00000008jY,,1,,1,,,,,,,,,,,,,,,,,,,,
HFFC-018804,aAZ2j00000008kH,,1,5,1,2,1,1,5,,3,,1,1,,,,,1,1,1,7,3,2,7
HFFC-018808,aAZ2j00000008kb,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018818,aAZ2j00000008lP,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018819,aAZ2j00000008lU,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018820,aAZ2j00000008lZ,,1,4,1,,4,1,3,2,1,,4,4,1,2,,,,,,,,,
HFFC-018821,aAZ2j00000008le,,5,1,,,5,,,,,,,,,,,,,,,,,,
HFFC-018823,aAZ2j00000008lo,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-018834,aAZ2j00000008mh,,,,,,,,,,,,,,,,,,,,,,,,5
HFFC-018836,aAZ2j00000008mr,,,,4,3,1,,,,,,,,,,,,,,,,,,
HFFC-018837,aAZ2j00000008mw,,2,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-018855,aAZ2j00000008oO,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018858,aAZ2j00000008od,,,5,3,3,4,4,1,3,5,3,6,6,5,3,3,1,1,1,2,2,5,,4
HFFC-018861,aAZ2j00000008os,,,1,,,1,1,,,,,,,,,,,,,,,,,
HFFC-018862,aAZ2j00000008ox,,,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018863,aAZ2j00000008p2,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018867,aAZ2j00000008pM,,,2,1,,2,,1,1,,,,,,,,,,,,,,,
HFFC-018871,aAZ2j00000008pg,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018875,aAZ2j00000008q0,,1,,1,,1,,1,,,,,,,,,,1,,,,,,
HFFC-018876,aAZ2j00000008q5,,,,,,1,4,,1,,,,,,,,,,,,,,,
HFFC-018880,aAZ2j00000008qP,,1,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018881,aAZ2j00000008qU,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018884,aAZ2j00000008qj,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018886,aAZ2j00000008qt,,,,,2,1,1,,,,,,,,,,,,,,,,,
HFFC-018890,aAZ2j00000008rD,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-018895,aAZ2j00000008rc,,,,,2,,1,2,1,1,,1,,,,,,,,,,,,
HFFC-018899,aAZ2j00000008rw,,,,1,,,,,1,,,,,,,,,,,,,1,,
HFFC-018901,aAZ2j00000008s6,,,,,5,2,1,5,1,1,1,1,,,,,,,,,,1,,
HFFC-018904,aAZ2j00000008sL,,,,,,,,,,,,,,,,,,1,,,,,,
HFFC-018911,aAZ2j00000008su,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018912,aAZ2j00000008sz,,,,,,,,,,1,,,,,,,,,,,,,,
HFFC-018916,aAZ2j00000008tJ,,,,,,,,3,,2,4,,,,,,,,,,,,,
HFFC-018919,aAZ2j00000008tY,,,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018921,aAZ2j00000008ti,,,,,1,,2,5,,,,,5,2,2,,,,,,,,,
HFFC-018926,aAZ2j00000008u7,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-018927,aAZ2j00000008uC,,,,,8,,,1,,1,,,1,1,3,1,,,,,,,,
HFFC-018930,aAZ2j00000008uR,,,5,,,,,,,,,,,,,,,,,,,,,
HFFC-018934,aAZ2j00000008ul,,,1,,,,,,,1,,1,1,1,,1,,,,,,,,1
HFFC-018939,aAZ2j00000008vA,,,6,,,,,,,,,,,,,,,,,,,,,
HFFC-018944,aAZ2j00000008vZ,,,,2,,,,,,,,,,,,,,,,,,,,
HFFC-018945,aAZ2j00000008ve,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-018949,aAZ2j00000008vy,,,1,,,,1,,2,2,,,,,,,,,,,,,,
HFFC-018950,aAZ2j00000008w3,,,,,,,,,,,,,,,,,,,3,,3,,,
HFFC-018963,aAZ2j00000008x6,,,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018969,aAZ2j00000008xa,,,2,,,,,,,,,,,,,,,,,,,,,
HFFC-018973,aAZ2j00000008xu,,,,,,,,,,,,,,,,,,,,,,,2,
HFFC-018987,aAZ2j00000008z2,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-018988,aAZ2j00000008z7,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-018995,aAZ2j00000008zg,,,,,,1,,,,,,,,,,,,,,,,,,
HFFC-018997,aAZ2j00000008zq,,,1,,,,,,,,,,,,,,,,,,,,,
