Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-001669,aAZ90000000PE1KGAW,,2,,2,2,,,1,6,2,1,,,1,3,,2,,,,1,1,2,1
HFFC-010586,aAZ0o000000PM2wGAG,10,8,7,7,2,,2,,,4,4,2,,,,,,1,,,,,,
HFFC-020700,aAZ2j0000000BBeGAM,,,,,,,,2,,,2,,2,2,,4,5,2,3,3,2,1,2,1
HFFC-020690,aAZ2j0000000BAqGAM,,,,,,,,,,,,2,,2,,,2,,,,,,,
HFFC-027136,aAZ2j000000PBjCGAW,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-000723,aAZ9000000000seGAA,,,,,,,,,1,,,,,,,,,,,,,,,
HFFC-030033,aAZ5i000000LKw2GAG,,,,,,,,,,,,,,,,,,,,,2,,2,
HFFC-012829,aAZ2j000000016FGAQ,,,,,,,2,,,,,,,,,,,2,,,2,1,1,
HFFC-023593,aAZ2j000000L0FmGAK,,,,,,,,,,,1,1,,,,,1,,,,1,,,
HFFC-011435,aAZ0o000000PN9PGAW,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-000371,aAZ9000000000QBGAY,,,,,,,,,2,2,2,,,,1,2,1,,,1,,,,
HFFC-025240,aAZ2j000000L2nCGAS,,,,,,,,,,,,,,,,4,4,4,,,,,1,3
HFFC-025993,aAZ2j000000L40vGAC,,,,,,,,,,,,,,,,,,,,,4,,,
HFFC-004980,aAZ0o000000CnY7GAK,5,4,4,3,3,3,,2,4,7,4,7,6,4,4,,6,3,5,2,2,5,6,6
HFFC-002623,aAZ90000000PFGGGA4,,,,,,,,,2,2,,6,,6,2,2,,,7,1,,,3,
HFFC-029505,aAZ5i000000LH7FGAW,,,,,,,,,,,,,,,,,,,,,1,,1,2
HFFC-027288,aAZ5i000000L1eVGAS,,,,,,,,,,,,,,,,,,,1,1,,,,
HFFC-000769,aAZ9000000000wRGAQ,2,1,1,1,,,,,,1,,,,,,1,,,,,,,,
HFFC-000231,aAZ9000000000EtGAI,3,,2,,1,,,,3,2,4,,1,1,,,,1,2,,,,,
HFFC-008958,aAZ0o000000GpO8GAK,,,,,,,,,,1,,2,,,,2,,,1,1,1,1,3,
HFFC-022229,aAZ2j0000000DBMGA2,,,,,,,,,1,1,,,,,,,,,2,1,1,,,4
HFFC-022777,aAZ2j000000KyvgGAC,,,,,,,,,,,,1,1,,2,,,,,,,,2,
HFFC-006375,aAZ0o000000Cpd3GAC,,,,,,,,,,,,,,,,,,,,,,1,1,
HFFC-007085,aAZ0o000000CqYTGA0,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-009068,aAZ0o000000GpWvGAK,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-021231,aAZ2j0000000BssGAE,,,,,,,,,,,,,,,3,3,,,,,,,,
HFFC-000043,aAZ90000000005oGAA,1,,,2,,,,,,,,,,,,,,,,,,,,
HFFC-024392,aAZ2j000000L1Y6GAK,,,,,,,,,,,,,,1,5,2,,,,,,2,,2
HFFC-001797,aAZ90000000PEBeGAO,,,,,,,,,,,,,,,,,,,1,1,,,,
HFFC-026573,aAZ2j000000PAwPGAW,,,,,,,,,,,,,,,,,,,,,1,2,,1
HFFC-003222,aAZ0o000000bthSGAQ,,,,,,,,,,,1,1,,,,,,,,,,,,
HFFC-000138,aAZ9000000000CRGAY,4,,2,3,5,4,9,4,8,,6,,2,,2,1,,2,,3,1,2,2,
HFFC-001742,aAZ90000000PE7DGAW,6,6,10,6,17,5,2,12,12,10,8,8,13,14,10,4,10,10,12,5,10,9,5,7
HFFC-021877,aAZ2j0000000Cj3GAE,,,,,,,,,,,1,,2,,,,,,,,,,,
HFFC-022437,aAZ2j0000000DS8GAM,,,,,,,,,,,,,1,1,,,,,,,,,,
HFFC-015634,aAZ2j00000004g1GAA,,,,,1,,,,,,,,,,,,,,,,,,,2
HFFC-005860,aAZ0o000000Coh0GAC,,,,,,,,1,1,,1,2,5,,7,6,5,5,2,3,2,,1,2
HFFC-025095,aAZ2j000000L2acGAC,,,,,,,,,,,,,,,,2,,,,,,,,
HFFC-022271,aAZ2j0000000DEkGAM,,,,,,,,,,,2,,2,1,1,,,,,,,,,
HFFC-028055,aAZ5i000000L8YhGAK,,,,,,,,,,,,,,,,,,,,,2,9,6,2
HFFC-021914,aAZ2j0000000Cm2GAE,,,,,,,,,,,1,1,,,,,,,,,,2,,4
HFFC-022772,aAZ2j000000KyvHGAS,,,,,,,,,,,3,3,1,2,2,4,3,6,2,3,2,2,4,6
HFFC-001778,aAZ90000000PEA7GAO,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-014145,aAZ2j00000002l4GAA,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-016269,aAZ2j00000005UpGAI,1,3,1,1,,,,,,,,,,,,,,,,,,,,
HFFC-018949,aAZ2j00000008vyGAA,,,1,1,,,,,2,2,,,2,,,,2,,,,,,,
HFFC-009710,aAZ0o000000GqMhGAK,5,5,2,2,6,,6,3,2,1,5,2,2,2,1,2,1,,4,,2,,,
HFFC-017767,aAZ2j00000007PcGAI,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-013040,aAZ2j00000001NBGAY,,2,,,,,,,,,,,,,2,,,,1,1,,,,
HFFC-002212,aAZ90000000PEj7GAG,1,1,2,,,,,5,6,5,1,3,,5,2,1,2,5,,7,7,1,3,2
HFFC-001510,aAZ90000000PDoVGAW,,,,,,,,,,,,,,,,,,1,,,1,,,
HFFC-011965,aAZ0o000000PNq9GAG,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-021616,aAZ2j0000000CO0GAM,,,,,,,,,1,,,2,1,,,,,,,,2,2,,2
HFFC-032523,aAZ5i000000LVVBGA4,,,,,,,,,,,,,,,,,,,,,,,,1
HFFC-022941,aAZ2j000000Kz8uGAC,,,,,,,,,,,1,,3,,,6,1,,,3,1,2,,3
HFFC-028504,aAZ5i000000LBf9GAG,,,,,,,,,,,,,,,,,,,,,2,,,
HFFC-010411,aAZ0o000000PLopGAG,,,,2,,,,,,,1,1,,,,,,,1,2,1,,,
HFFC-031117,aAZ5i000000LTE1GAO,,,,,,,,,,,,,,,,,,,,,,,2,2
HFFC-015937,aAZ2j000000054DGAQ,5,1,2,1,,,1,,,,,,,,,,,,,,,,,
HFFC-001424,aAZ90000000PDhZGAW,,,2,6,2,,,,2,,1,,,4,,8,,,1,2,,,2,
HFFC-016558,aAZ2j00000005s8GAA,,,,1,,,1,,,,,,,,,,,,,,,,,
HFFC-017364,aAZ2j00000006tMGAQ,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-008642,aAZ0o000000GoyeGAC,,,,2,2,,,,,2,,,,2,,4,,,2,,,,,1
HFFC-001427,aAZ90000000PDhoGAG,,,,,,,,,,2,,,,,2,,,,1,,,,,
HFFC-023499,aAZ2j000000L06uGAC,,,,,,,,,,,,1,3,2,,,,,,,,,2,
HFFC-002497,aAZ90000000PF66GAG,,1,,1,,,,,,,,,,,,,,,,,,,,
HFFC-003396,aAZ0o000000btvUGAQ,5,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-022608,aAZ2j0000000Dg5GAE,,,,,,,,,,,2,,,,2,,2,,,,,,,
HFFC-019101,aAZ2j0000000984GAA,,,,,3,1,4,,2,4,2,4,,4,,1,3,,2,4,3,2,2,3
HFFC-006726,aAZ0o000000Cq5RGAS,,,,,,,,,,2,,,,,,,,,,,,,,
HFFC-024989,aAZ2j000000L2RLGA0,,,,,,,,,,,,,,,4,6,2,2,2,2,4,2,1,6
HFFC-018876,aAZ2j00000008q5GAA,,,,,,1,1,,2,2,,2,,,,,,,,,,,,
HFFC-000276,aAZ9000000000IWGAY,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-022366,aAZ2j0000000DMPGA2,,,,,,,,,,,,,2,,,,,,,,,2,,
HFFC-006937,aAZ0o000000CqMSGA0,,,,,2,4,,,,,,,,,,,,,,,,,,
HFFC-001257,aAZ90000000PDU6GAO,,1,2,,,,,,,,,,,,,,,,,,,,,
HFFC-014663,aAZ2j00000003QgGAI,1,,2,,1,,,,,,2,1,4,,,3,1,1,,1,2,1,1,
HFFC-017371,aAZ2j00000006tvGAA,,,,,1,,,,,,,,,,,,,,,,,,,
HFFC-007241,aAZ0o000000Gn9zGAC,,,,,,,,,,,1,,,,,,,,,,,,,
HFFC-016700,aAZ2j000000063aGAA,2,,,,,,,,,,,,,1,,,,,,,,,,
HFFC-000564,aAZ9000000000fkGAA,1,3,9,12,1,1,4,11,6,6,8,17,8,15,7,8,13,9,2,2,10,7,11,9
HFFC-006976,aAZ0o000000CqPbGAK,,,,,,,,,,,,,1,3,,,,,,,,,,
HFFC-017528,aAZ2j000000076VGAQ,,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-006929,aAZ0o000000CqLoGAK,,,,2,2,,,11,1,,,,2,2,,1,1,1,,2,,,,3
HFFC-032712,aAZ5i000000LVoYGAW,,,,,,,,,,,,,,,,,,,,,,,,1
HFFC-000103,aAZ90000000008iGAA,,,,,,,,1,,,1,,,,,,,,,,,,,
HFFC-001999,aAZ90000000PERwGAO,3,3,,1,1,,,,,2,1,,,,,4,1,,1,,1,,,
HFFC-020724,aAZ2j0000000BDaGAM,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-007997,aAZ0o000000Go8sGAC,,,,,,,,,,1,1,,,,,,,,,,,,,
HFFC-009595,aAZ0o000000GqDQGA0,2,,,2,,,,,,,,,,,,,,,,,,,,2
HFFC-028591,aAZ5i000000LC3OGAW,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-025666,aAZ2j000000L3SZGA0,,,,,,,,,,,,,,,,2,5,4,6,6,6,7,3,3
HFFC-023484,aAZ2j000000L05XGAS,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-023487,aAZ2j000000L05mGAC,,,,,,,,,,,,,,,,,,,,,,1,1,
HFFC-025381,aAZ2j000000L30VGAS,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-001811,aAZ90000000PECmGAO,,,,,2,,,,,,1,2,,1,6,3,5,3,4,3,6,3,5,7
HFFC-001813,aAZ90000000PECwGAO,,,,,1,,,,,1,,,,,,,,,,,,,,
HFFC-001119,aAZ9000000001OfGAI,,,1,1,,,,,,,,,,2,,,,,,,,,,
HFFC-023415,aAZ2j000000KzvDGAS,,,,,,,,,,,,,,2,,,,,,,,,,
HFFC-033063,aAZ5i000000LWUIGA4,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-030407,aAZ5i000000LN9NGAW,,,,,,,,,,,,,,,,,,,,,,2,3,1
HFFC-023796,aAZ2j000000L0YyGAK,,,,,,,,,,,,,1,1,,,,,,,,,2,
HFFC-021161,aAZ2j0000000BmpGAE,,,,,,,2,2,5,4,9,7,1,,,,,,,,,,,
HFFC-006906,aAZ0o000000CqJxGAK,1,1,,,,,2,,,1,,,,,,,,,,,,,,
HFFC-009522,aAZ0o000000Gq7XGAS,,,,,,,,,,,,,,,,,1,2,,,,,,
HFFC-011966,aAZ0o000000PNqEGAW,3,5,2,6,3,1,2,4,2,1,2,3,,,,,,,,1,,,,
HFFC-002739,aAZ90000000PFPcGAO,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-019823,aAZ2j0000000A3jGAE,,,,,1,1,,,1,1,1,3,,3,2,2,1,2,1,2,,2,1,3
HFFC-031792,aAZ5i000000LUKVGA4,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-022464,aAZ2j0000000DUJGA2,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-009764,aAZ0o00000008LgGAI,1,1,,2,2,1,2,,2,2,,4,2,1,2,,,,,,,,,
HFFC-027184,aAZ2j000000PBnJGAW,,,,,,,,,,,,,,,,,,2,,2,,,,
HFFC-001331,aAZ90000000PDa4GAG,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-001711,aAZ90000000PE4iGAG,3,3,,,2,,,,2,2,,,,,,,1,,,,2,,,
HFFC-007539,aAZ0o000000GnY1GAK,,,,,,,,,5,4,1,,,4,,,,,,,,,,
HFFC-018690,aAZ2j00000008bKGAQ,,,,1,1,,,,,,,,,,,,,,1,,,,,
HFFC-021269,aAZ2j0000000BvwGAE,,,,,,,,,1,3,,2,,2,2,,,,4,,1,,,
HFFC-000349,aAZ9000000000OPGAY,2,,,,,,,,,,,,,,,,1,2,3,,2,1,,1
HFFC-024160,aAZ2j000000L17FGAS,,,,,,,,,,,,,,,2,,,2,,1,1,,,
HFFC-027520,aAZ5i000000L3j4GAC,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-002547,aAZ90000000PFA8GAO,6,2,10,4,6,,2,3,10,,,,,,,,,1,3,3,5,1,3,1
HFFC-025554,aAZ2j000000L3ItGAK,,,,,,,,,,,,,,,,6,6,2,4,1,1,,,
HFFC-012025,aAZ2j000000003UGAQ,,3,3,,,,,,,2,,,,,1,1,,,,,,,,
HFFC-023736,aAZ2j000000L0SgGAK,,,,,,,,,,,,,,,,,,,,,1,1,,
HFFC-032723,aAZ5i000000LVpRGAW,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-023915,aAZ2j000000L0jIGAS,,,,,,,,,,,,,,2,,2,3,,,,,,,
HFFC-004506,aAZ0o000000CmvtGAC,1,3,4,2,1,2,2,3,2,5,3,2,,2,,,,1,,1,,,,
HFFC-001552,aAZ90000000PDrtGAG,,,2,2,2,,,,,1,1,,,,,,,,,,,,,
HFFC-011798,aAZ0o000000PNcgGAG,,,,,,1,1,1,,,,,,,,,,,,,,,,
HFFC-004294,aAZ0o000000PGrRGAW,,,1,,,,,,,,,,,,,,4,,,,,,,
HFFC-017636,aAZ2j00000007FDGAY,,2,,,,,,,,,,,,2,,,,,,2,,,,1
HFFC-001985,aAZ90000000PEQoGAO,1,1,,,,,,,,,,,,,,,,,,,,,,
HFFC-007646,aAZ0o000000GngeGAC,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-026334,aAZ2j000000L4XLGA0,,,,,,,,,,,,,,,,,,,,1,1,,,4
HFFC-002577,aAZ90000000PFCYGA4,,,,1,3,1,,6,2,3,,4,4,,2,1,4,1,1,,1,1,1,1
HFFC-019519,aAZ2j00000009fSGAQ,,,,,,2,,,,,,,,,,,,,1,2,,,,
HFFC-023456,aAZ2j000000L02xGAC,,,,,,,,,,,,,4,5,6,3,2,2,2,,,,4,
HFFC-025344,aAZ2j000000L2xWGAS,,,,,,,,,,,,,,,,,1,1,1,,,1,,
HFFC-017368,aAZ2j00000006tgGAA,,,,,2,,,,,,,,,,,,,,,,,,,
HFFC-000217,aAZ9000000000EBGAY,2,1,,2,,,,,2,1,2,,,,,,,,,,,1,,
HFFC-011792,aAZ0o000000PNcCGAW,,5,1,1,9,2,,,,2,,2,3,,2,,,,,1,,,,
HFFC-016366,aAZ2j00000005ceGAA,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-025816,aAZ2j000000L3kdGAC,,,,,,,,,,,,,,,,,,,,,,,2,
HFFC-030802,aAZ5i000000LQeHGAW,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-023818,aAZ2j000000L0auGAC,,,,,,,,,,,,,4,6,2,2,,2,,,,,,
HFFC-012614,aAZ2j00000000ouGAA,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-030266,aAZ5i000000LMTKGA4,,,,,,,,,,,,,,,,,,,,,1,1,1,2
HFFC-009592,aAZ0o000000GqDBGA0,7,4,6,15,5,4,10,10,4,6,17,8,8,6,12,2,6,4,3,5,10,17,,5
HFFC-021234,aAZ2j0000000Bt7GAE,,,,,,,,,,,,,2,,3,,,,,,,,,
HFFC-020489,aAZ2j0000000AuiGAE,,,,,,,,1,1,2,,,,,,,,,,,,,,
HFFC-026429,aAZ2j000000L4ftGAC,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-006808,aAZ0o000000CqC3GAK,17,14,8,5,,2,17,1,,3,2,2,,2,6,12,,2,1,1,,2,2,4
HFFC-000728,aAZ9000000000t8GAA,,,1,1,2,2,3,1,,2,3,,,,,,4,,,,,,,
HFFC-024450,aAZ2j000000L1dVGAS,,,,,,,,,,,,,,2,,,,,1,1,1,,,
HFFC-030741,aAZ5i000000LQIqGAO,,,,,,,,,,,,,,,,,,,,,1,,,
HFFC-009422,aAZ0o000000GpzTGAS,2,,2,2,4,1,,,,2,2,,,6,,,2,,,4,,,,2
HFFC-014183,aAZ2j00000002o8GAA,1,,6,6,2,,,,,,,,,,,,,,,,,,,
HFFC-022277,aAZ2j0000000DFEGA2,,,,,,,,,4,,3,1,,1,,3,3,2,2,1,1,3,,1
HFFC-027097,aAZ2j000000PBg8GAG,,,,,,,,,,,,,,,,,,3,3,8,1,5,4,7
HFFC-027802,aAZ5i000000L6HzGAK,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-016702,aAZ2j000000063kGAA,,1,,2,,,,,,,,,,,,,,,,,,,,
HFFC-011502,aAZ0o000000PNEoGAO,,,,2,1,2,3,1,,,,,,,,,4,,,,,2,,2
HFFC-019077,aAZ2j000000096DGAQ,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-000586,aAZ9000000000hWGAQ,,,3,,7,,1,2,,1,3,1,,3,2,1,,,1,,,2,,
HFFC-024193,aAZ2j000000L1H0GAK,,,,,,,,,,,,,,,,1,,2,,,,,,
HFFC-027252,aAZ5i000000L0ykGAC,,,,,,,,,,,,,,,,,,,6,1,1,1,1,
HFFC-021643,aAZ2j0000000CQBGA2,,,,,,,,2,,,,,,,,,,,,,,,,
HFFC-021814,aAZ2j0000000CdyGAE,,,,,,,,,1,,,,,,1,,,,,,,,,
HFFC-020212,aAZ2j0000000AYmGAM,,,,,,,,,2,,,4,4,2,5,,4,,,2,1,,3,1
HFFC-025662,aAZ2j000000L3SFGA0,,,,,,,,,,,,,,,,2,,2,2,4,,,,
HFFC-004068,aAZ0o000000PGQxGAO,,,,,,,,,,,,1,1,,1,,,1,,,,1,,1
HFFC-022068,aAZ2j0000000CyNGAU,,,,,,,,,,,,,4,,1,2,,2,2,,,,,2
HFFC-011224,aAZ0o000000PMsOGAW,,,,,,,,,,,,,,,,,2,,,2,,,,
HFFC-015267,aAZ2j00000004CpGAI,1,,1,5,,,,,2,,,,2,2,2,2,,4,,3,2,2,,2
HFFC-018383,aAZ2j00000008CoGAI,,1,3,2,,,,,2,,,2,3,,1,,,,,,,,,
HFFC-017294,aAZ2j00000006nnGAA,1,,1,1,,,,,,2,,,,,,,,,3,1,2,2,,
HFFC-026091,aAZ2j000000L49xGAC,,,,,,,,,,,,,,,,,,2,,1,,,,
HFFC-000952,aAZ9000000001BCGAY,,,,,,,,,,,,1,,,,,,,,,,,,
HFFC-018602,aAZ2j00000008UTGAY,,,,,2,,,2,8,2,,2,,,4,2,,,,,,,,
HFFC-002727,aAZ90000000PFOeGAO,,,2,,,,,,,,2,,,,,,,,,,,,,
HFFC-025969,aAZ2j000000L3yzGAC,,,,,,,,,,,,,,,,,,1,,,,,,
HFFC-013238,aAZ2j00000001d9GAA,,,,,,,,,,,,2,4,,2,,3,2,,1,1,1,4,
HFFC-001491,aAZ90000000PDmyGAG,,2,3,2,1,2,,4,5,,2,1,3,2,3,1,,2,,,1,1,,
HFFC-019588,aAZ2j00000009l1GAA,,,,,,,2,,1,3,4,1,2,5,3,,,,,,,,,
HFFC-030885,aAZ5i000000LR6QGAW,,,,,,,,,,,,,,,,,,,,,,2,2,2
HFFC-025942,aAZ2j000000L3woGAC,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-001391,aAZ90000000PDeuGAG,1,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-015493,aAZ2j00000004UeGAI,2,1,1,2,,,,,,,,,1,,,,,,,,,,,
HFFC-014834,aAZ2j00000003e9GAA,2,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018732,aAZ2j00000008eiGAA,,,,,2,,1,1,3,2,1,1,2,2,1,6,2,5,7,5,3,4,,2
HFFC-023723,aAZ2j000000L0RdGAK,,,,,,,,,,,,,,2,2,2,2,1,2,1,,,,
HFFC-009700,aAZ0o000000GqLtGAK,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-028170,aAZ5i000000L97iGAC,,,,,,,,,,,,,,,,,,,,2,1,8,10,5
HFFC-021103,aAZ2j0000000Bi9GAE,,,,,,,1,1,,,1,2,,2,,4,2,2,2,1,1,2,2,1
HFFC-021949,aAZ2j0000000CorGAE,,,,,,,,,,,,1,1,2,,7,4,,1,,,,,
HFFC-016291,aAZ2j00000005WbGAI,,1,,,,,,,,,,,,,,,2,,,,,,,
HFFC-012110,aAZ2j00000000AGGAY,8,3,2,5,3,1,,2,7,2,1,3,3,5,8,4,2,3,3,8,,2,3,2
HFFC-017724,aAZ2j00000007MEGAY,,,2,3,3,2,,4,2,1,5,,,2,,2,,,,,,,,
HFFC-015880,aAZ2j00000004zmGAA,2,1,1,,,,,2,3,,1,2,,6,8,1,1,1,,,2,,,
HFFC-004251,aAZ0o000000PGnyGAG,9,6,10,8,8,7,9,7,15,21,16,14,9,5,3,16,9,5,10,3,6,4,5,
HFFC-001474,aAZ90000000PDlbGAG,4,3,4,6,3,2,2,4,9,6,2,3,5,2,3,,,,1,,1,,,3
HFFC-002128,aAZ90000000PEcLGAW,1,2,,1,1,,,1,,2,1,,,,,,,,,,,,,
HFFC-018384,aAZ2j00000008CtGAI,,,,,,,,,2,,,,,,,,,,,,,,,
HFFC-006315,aAZ0o000000CpYDGA0,,,,,,,,,,,,,,,1,,,,,,,,,
HFFC-026094,aAZ2j000000L4ACGA0,,,,,,,,,,,,,,,,,1,1,,,2,,,
HFFC-001183,aAZ9000000001TpGAI,1,,,,,,,,,1,,,,,,,,1,,,,,,
HFFC-024742,aAZ2j000000L26hGAC,,,,,,,,,,,,,,2,,,,,,,1,,,
HFFC-013579,aAZ2j000000024PGAQ,,,,,1,,,,,,,,2,,,,,,,,,,,
HFFC-022583,aAZ2j0000000De4GAE,,,,,,,,,,,,2,,,2,,2,,,6,,5,4,6
HFFC-027853,aAZ5i000000L6h4GAC,,,,,,,,,,,,,,,,,,,2,2,,,,
HFFC-010860,aAZ0o000000PMP2GAO,,,,1,1,,,,,,,,,,,,,,,,,,,
HFFC-022659,aAZ2j000000KymKGAS,,,,,,,,,,,,2,,,,,,,,,,,,
HFFC-027996,aAZ5i000000L7cGGAS,,,,,,,,,,,,,,,,,,,,,2,4,,
HFFC-018063,aAZ2j00000007nFGAQ,,,,,,2,2,,1,,,,,,,,6,,,2,,,,
HFFC-025546,aAZ2j000000L3I5GAK,,,,,,,,,,,,,,,,,,1,1,2,,,,
HFFC-020287,aAZ2j0000000AefGAE,,,,,,,2,,1,1,3,2,2,1,3,1,4,1,4,1,,1,6,4
HFFC-028076,aAZ5i000000L8aTGAS,,,,,,,,,,,,,,,,,,,,1,1,,,
HFFC-023196,aAZ2j000000KzWcGAK,,,,,,,,,,,2,,,,,,,,1,1,,2,4,
HFFC-001938,aAZ90000000PEN1GAO,,,,,,,,,,,,,,1,,,,,,,,,,
HFFC-030393,aAZ5i000000LN3sGAG,,,,,,,,,,,,,,,,,,,,,2,,,
HFFC-016685,aAZ2j000000062NGAQ,,1,,,,,1,,,,,,,,,,,,,,,,,
HFFC-001043,aAZ9000000001IXGAY,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-032551,aAZ5i000000LVXRGA4,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-022028,aAZ2j0000000CvAGAU,,,,,,,,,,,,,2,,2,,,,,,,,,
HFFC-000157,aAZ9000000000CkGAI,,,,1,,,2,,3,6,4,1,2,2,1,3,3,4,1,4,,4,6,1
HFFC-020328,aAZ2j0000000AhtGAE,,,,,,,,3,1,,,,,1,1,,2,,,,,,,
HFFC-022084,aAZ2j0000000CzfGAE,,,,,,,,,,2,2,,2,,,2,,,,1,1,,,4
HFFC-010550,aAZ0o000000PM02GAG,7,9,12,8,6,2,4,1,4,5,7,5,10,7,15,9,7,9,3,2,4,3,6,5
HFFC-015768,aAZ2j00000004qkGAA,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-025186,aAZ2j000000L2hxGAC,,,,,,,,,,,,,,,2,2,,5,2,3,6,3,2,
HFFC-023613,aAZ2j000000L0HOGA0,,,,,,,,,,,,,,2,,,,,,,,,,
HFFC-001834,aAZ90000000PEEdGAO,,1,1,,,,,,,,,,,,,,,,,,,,,
HFFC-019616,aAZ2j00000009nHGAQ,,,,,,,,,,,2,,,,,,,,,,,,,
HFFC-004425,aAZ0o000000PH20GAG,3,5,3,11,3,,9,4,3,10,17,10,8,5,2,8,9,2,5,6,2,7,10,6
HFFC-009473,aAZ0o000000Gq3aGAC,,,,,,,,,1,1,,,,,,,,,,,,,,
HFFC-011255,aAZ0o000000PMutGAG,6,4,2,,1,1,,,,,,1,,,,,,,,,,,,1
HFFC-018098,aAZ2j00000007q4GAA,,,,,,,,,,,,,,,,1,,1,1,1,,,,
HFFC-025543,aAZ2j000000L3HqGAK,,,,,,,,,,,,,,,,,,,,1,,,,
HFFC-023475,aAZ2j000000L04oGAC,,,,,,,,,,,1,,,,1,2,,2,,,2,1,1,2
HFFC-026495,aAZ2j000000L4mBGAS,,,,,,,,,,,,,,,,,1,3,2,,,,,
HFFC-013041,aAZ2j00000001NGGAY,,2,2,,,,,6,,,,,,6,2,,,,,1,1,,,1
HFFC-029659,aAZ5i000000LIZNGA4,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-003853,aAZ0o000000PG5ZGAW,,,,,,,,,4,2,,,,,,,,,,,,,,
HFFC-029678,aAZ5i000000LIauGAG,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-024275,aAZ2j000000L1O6GAK,,,,,,,,,,,,,2,,,,,,,,,,,
HFFC-026755,aAZ2j000000PBCNGA4,,,,,,,,,,,,,,,,,,5,5,3,,,1,3
HFFC-015670,aAZ2j00000004ivGAA,,,,,,,,1,,,,,,,,,,,,,,,,
HFFC-027859,aAZ5i000000L6hYGAS,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-025449,aAZ2j000000L39NGAS,,,,,,,,,,,,,,,,,,,,,2,2,,4
HFFC-023017,aAZ2j000000KzFbGAK,,,,,,,,,,1,1,,,,,,,,,,,,,
HFFC-006228,aAZ0o000000CpRCGA0,,2,,,2,,,,,,,,,2,,,,1,,1,,,,
HFFC-000719,aAZ9000000000sKGAQ,,2,,,,1,,1,2,2,,,3,,,,,,,,,,,
HFFC-030026,aAZ5i000000LKvTGAW,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-018030,aAZ2j00000007kaGAA,1,3,,,2,,,,,,,,,,,,,,,,,,,
HFFC-029802,aAZ5i000000LJ5YGAW,,,,,,,,,,,,,,,,,,,,,,1,,
HFFC-027689,aAZ5i000000L58wGAC,,,,,,,,,,,,,,,,,,,,4,,,,
HFFC-018140,aAZ2j00000007tSGAQ,,,,,,,,,,,,,,,,,,2,,,,,1,1
HFFC-016681,aAZ2j0000000623GAA,2,1,1,,2,,,,,,,,,,,,,,,,,,,
HFFC-006174,aAZ0o000000CpMqGAK,1,,,,,,,,,,,,,,,,,,,,,,,
HFFC-018718,aAZ2j00000008daGAA,,,,,,,,,,,,,,,,,,,,1,1,,,
HFFC-000089,aAZ90000000008UGAQ,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-027128,aAZ2j000000PBiYGAW,,,,,,,,,,,,,,,,,,6,,,,,,
