Connector Code,Id (Connector),Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22
HFFC-025747,aAZ2j000000L3bRGAS,,,,,,,,,,,,,,,,,3,1,2,,,2,,2
HFFC-000788,aAZ9000000000xyGAA,,,,6,1,1,2,2,1,9,2,,2,2,,5,4,3,,3,3,2,,1
HFFC-015144,aAZ2j0000000434GAA,8,3,3,4,4,,2,,4,3,5,4,5,1,4,4,2,8,3,2,6,5,2,1
HFFC-004218,aAZ0o000000PGlJGAW,,,,,,,,,,2,4,,2,,,2,,,,,,,,
HFFC-009956,aAZ0o00000008bAGAQ,,,1,,,,,,,,,,,,,,,,,,,,,
HFFC-016785,aAZ2j00000006AMGAY,,,,,,2,2,,,,,,,,,,,,,,,,,
HFFC-020989,aAZ2j0000000BYxGAM,,,,,,,2,,,,,,,,,,,,,,,,,
HFFC-022390,aAZ2j0000000DOLGA2,,,,,,,,,,2,,,,,,,,,,,,,,
HFFC-024307,aAZ2j000000L1RFGA0,,,,,,,,,,,,,,,,2,,,,,,,1,
HFFC-032109,aAZ5i000000LUsEGAW,,,,,,,,,,,,,,,,,,,,,,,1,1
HFFC-018287,aAZ2j0000000859GAA,,,,1,,,,,,,,,,,,,,,,,,,,
HFFC-019085,aAZ2j000000096rGAA,,,1,2,1,3,3,5,4,3,4,,3,,,,,,,,,,,
HFFC-023071,aAZ2j000000KzLFGA0,,,,,,,,,,,2,,,,,,,,,,,,,
HFFC-018507,aAZ2j00000008MoGAI,,,,,,,,,,,,,,1,1,,,,,1,1,,,
HFFC-027466,aAZ5i000000L2zQGAS,,,,,,,,,,,,,,,,,,,,2,,,,
HFFC-026228,aAZ2j000000L4NzGAK,,,,,,,,,,,,,,,,,,,,,,,3,4
HFFC-012908,aAZ2j00000001CXGAY,3,2,,,,,,,,,,,,,,2,,,,,,,,
HFFC-013654,aAZ2j000000028vGAA,,,,,,,,2,1,1,2,,2,,,,,,,,,,,
HFFC-017899,aAZ2j00000007aGGAQ,,,,,1,,3,,,,,,,,,,,,,1,,,,
HFFC-024389,aAZ2j000000L1XrGAK,,,,,,,,,,,,,,,,,,,2,,,,,
HFFC-000813,aAZ9000000000zzGAA,,,,,,,,,,,,,,,,1,,,,,,,,
HFFC-025698,aAZ2j000000L3V4GAK,,,,,,,,,,,,,,,,,4,2,4,,2,,4,
HFFC-020305,aAZ2j0000000Ag2GAE,,,,,,2,,,2,5,1,,2,2,,4,2,2,5,,2,4,1,
HFFC-001311,aAZ90000000PDYSGA4,,2,,,,,,,,,,,,,,,,,,,,,,
HFFC-025225,aAZ2j000000L2lGGAS,,,,,,,,,,,,,,,1,1,2,,,2,,,,
HFFC-012747,aAZ2j00000000zdGAA,,,,,,,,,,,,,,1,,,,,,,,,,
HFFC-026733,aAZ2j000000PBAbGAO,,,,,,,,,,,,,,,,,,,,,,,,2
HFFC-002253,aAZ90000000PEmQGAW,,,,,,,,,,,,,,1,,,,,,,,,,
HFFC-019157,aAZ2j00000009CVGAY,,,,1,1,,,,,,,,,,,,,,,,,,,
HFFC-007734,aAZ0o000000GnnkGAC,,,,,,,,,2,,,2,,,,,,,,,1,1,,
HFFC-009632,aAZ0o000000GqGPGA0,2,,,,,,,,,3,2,4,,,2,,,,,2,,2,2,
HFFC-026069,aAZ2j000000L47rGAC,,,,,,,,,,,,,,,,,,,,,,2,,
HFFC-018412,aAZ2j00000008F9GAI,,,4,4,8,,12,2,12,11,9,12,13,8,8,10,4,4,6,1,1,2,3,1
HFFC-017620,aAZ2j00000007DvGAI,,,2,2,,,,2,2,5,4,3,5,4,4,4,2,2,8,3,5,1,4,1
HFFC-000738,aAZ9000000000twGAA,2,2,,,,,,,,,,,,,,1,1,,1,,,,,
HFFC-011996,aAZ2j0000000019GAA,1,,,2,,,,,,,,,,,,,,,,,,,,
HFFC-029390,aAZ5i000000LGl1GAG,,,,,,,,,,,,,,,,,,,,,,,2,
HFFC-021505,aAZ2j0000000CF3GAM,,,,,,,,,,,,,,,,,,,,,1,,,
HFFC-015942,aAZ2j000000054cGAA,1,,1,2,,1,,,,,,,,,,,,1,,,,,,
HFFC-018753,aAZ2j00000008gPGAQ,,,,,,,,,,,,2,,,,,,,,,,,,
HFFC-000424,aAZ9000000000USGAY,,,,,,,,1,3,3,,1,,,,5,1,,1,,2,,2,
